iter	Passed	Remaining
409	4549	6546
410	4555	6527
411	4561	6509
412	4567	6491
413	4572	6472
414	4579	6455
415	4587	6440
416	4595	6425
417	4606	6414
418	4619	6406
419	4629	6392
420	4645	6388
421	4666	6392
422	4676	6378
423	4683	6362
424	4687	6342
425	4703	6337
426	4719	6332
427	4733	6326
428	4747	6318
429	4763	6313
430	4767	6294
431	4772	6274
432	4783	6263
433	4802	6262
434	4810	6247
435	4818	6233
436	4835	6229
437	4844	6215
438	4857	6207
439	4870	6198
440	4887	6195
441	4896	6181
442	4904	6167
443	4908	6146
444	4913	6128
445	4919	6111
446	4925	6093
447	4940	6087
448	4965	6093
449	4969	6074
450	4976	6057
451	4984	6042
452	4993	6030
453	5002	6015
454	5006	5997
455	5011	5978
456	5019	5963
457	5023	5945
458	5030	5928
459	5036	5912
460	5051	5906
461	5058	5890
462	5063	5872
463	5079	5867
464	5087	5853
465	5095	5838
466	5116	5839
467	5123	5823
468	5134	5812
469	5142	5799
470	5148	5782
471	5155	5767
472	5165	5755
473	5176	5744
474	5185	5731
475	5191	5715
476	5201	5703
477	5209	5689
478	5218	5676
479	5231	5667
480	5240	5654
481	5244	5635
482	5253	5623
483	5258	5605
484	5262	5588
485	5269	5573
486	5275	5556
487	5282	5542
488	5288	5526
489	5292	5508
490	5298	5492
491	5304	5477
492	5313	5464
493	5319	5449
494	5327	5434
495	5335	5421
496	5341	5406
497	5348	5391
498	5355	5377
499	5360	5360
500	5367	5346
501	5371	5329
502	5380	5316
503	5387	5301
504	5392	5285
505	5399	5271
506	5409	5260
507	5421	5250
508	5433	5240
509	5440	5226
510	5447	5213
511	5453	5198
512	5459	5182
513	5463	5166
514	5468	5150
515	5473	5133
516	5485	5124
517	5490	5109
518	5496	5094
519	5501	5078
520	5508	5064
521	5513	5048
522	5518	5033
523	5523	5017
524	5534	5007
525	5544	4996
526	5552	4983
527	5557	4967
528	5561	4952
529	5566	4936
530	5571	4920
531	5577	4906
532	5602	4909
533	5612	4898
534	5620	4885
535	5636	4879
536	5657	4877
537	5670	4869
538	5676	4854
539	5681	4840
540	5686	4824
541	5690	4808
542	5696	4794
543	5704	4781
544	5710	4767
545	5719	4756
546	5730	4745
547	5740	4735
548	5746	4720
549	5751	4705
550	5762	4695
551	5766	4680
552	5777	4670
553	5784	4657
554	5794	4646
555	5799	4631
556	5804	4616
557	5811	4603
558	5820	4591
559	5835	4584
560	5843	4572
561	5850	4559
562	5857	4546
563	5867	4535
564	5874	4522
565	5884	4511
566	5893	4500
567	5899	4487
568	5907	4474
569	5913	4460
570	5921	4448
571	5927	4435
572	5934	4422
573	5937	4406
574	5942	4392
575	5949	4379
576	5953	4364
577	5958	4350
578	5962	4335
579	5968	4321
580	5972	4307
581	5977	4293
582	5985	4281
583	5995	4270
584	6002	4258
585	6008	4245
586	6017	4234
587	6027	4223
588	6039	4214
589	6046	4201
590	6056	4191
591	6063	4178
592	6070	4166
593	6084	4158
594	6092	4146
595	6101	4136
596	6108	4123
597	6113	4109
598	6119	4097
599	6127	4084
600	6134	4072
601	6140	4059
602	6148	4047
603	6155	4035
604	6160	4022
605	6165	4008
606	6169	3994
607	6174	3981
608	6180	3968
609	6184	3954
610	6192	3942
611	6197	3929
612	6204	3916
613	6210	3904
614	6216	3891
615	6222	3878
616	6227	3865
617	6231	3851
618	6236	3838
619	6241	3825
620	6246	3812
621	6251	3799
622	6257	3786
623	6262	3773
624	6268	3761
625	6273	3748
626	6279	3735
627	6283	3721
628	6288	3708
629	6293	3696
630	6298	3683
631	6304	3670
632	6307	3657
633	6312	3644
634	6317	3631
635	6322	3618
636	6327	3605
637	6331	3592
638	6337	3580
639	6341	3567
640	6348	3555
641	6353	3542
642	6359	3530
643	6368	3520
644	6374	3508
645	6380	3496
646	6386	3484
647	6393	3472
648	6401	3461
649	6407	3450
650	6413	3438
651	6419	3426
652	6423	3413
653	6431	3402
654	6437	3390
655	6442	3378
656	6446	3365
657	6449	3352
658	6455	3340
659	6460	3328
660	6463	3315
661	6469	3302
662	6474	3290
663	6480	3279
664	6486	3267
665	6491	3255
666	6498	3244
667	6505	3233
668	6510	3221
669	6514	3208
670	6517	3195
671	6521	3183
672	6526	3171
673	6532	3159
674	6537	3147
675	6545	3137
676	6551	3125
677	6557	3114
678	6563	3102
679	6567	3090
680	6571	3078
681	6574	3065
682	6578	3053
683	6583	3041
684	6588	3029
685	6593	3017
686	6599	3006
687	6604	2994
688	6608	2982
689	6613	2971
690	6621	2960
691	6626	2949
692	6631	2937
693	6635	2925
694	6642	2915
695	6648	2903
696	6654	2892
697	6661	2882
698	6665	2870
699	6669	2858
700	6674	2846
701	6678	2834
702	6685	2824
703	6692	2813
704	6697	2802
705	6702	2791
706	6708	2780
707	6714	2769
708	6722	2759
709	6727	2747
710	6730	2735
711	6734	2724
712	6738	2712
713	6741	2700
714	6745	2688
715	6748	2676
716	6753	2665
717	6756	2653
718	6759	2641
719	6763	2630
720	6766	2618
721	6770	2607
722	6774	2595
723	6777	2583
724	6780	2572
725	6784	2560
726	6787	2548
727	6792	2537
728	6795	2526
729	6799	2514
730	6802	2503
731	6806	2491
732	6813	2481
733	6816	2470
734	6819	2458
735	6823	2447
736	6826	2436
737	6830	2424
738	6834	2413
739	6838	2402
740	6841	2391
741	6845	2380
742	6853	2370
743	6859	2360
744	6865	2350
745	6870	2339
746	6880	2330
747	6888	2320
748	6894	2310
749	6899	2299
750	6904	2289
751	6909	2278
752	6913	2267
753	6918	2257
754	6929	2248
755	6938	2239
756	6942	2228
757	6947	2218
758	6954	2208
759	6962	2198
760	6968	2188
761	6974	2178
762	6978	2167
763	6983	2157
764	6987	2146
765	6991	2135
766	7003	2127
767	7010	2117
768	7019	2108
769	7026	2098
770	7031	2088
771	7034	2077
772	7045	2069
773	7053	2059
774	7059	2049
775	7066	2039
776	7071	2029
777	7076	2019
778	7082	2009
779	7087	1998
780	7091	1988
781	7094	1977
782	7097	1967
783	7101	1956
784	7106	1946
785	7111	1936
786	7115	1925
787	7120	1915
788	7124	1905
789	7129	1895
790	7133	1884
791	7139	1874
792	7144	1865
793	7151	1855
794	7156	1845
795	7164	1836
796	7175	1827
797	7181	1817
798	7186	1807
799	7191	1797
800	7199	1788
801	7204	1778
802	7208	1768
803	7215	1758
804	7221	1749
805	7226	1739
806	7233	1729
807	7237	1719
808	7242	1709
809	7246	1699
810	7250	1689
811	7254	1679
812	7258	1669
813	7263	1659
814	7267	1649
815	7271	1639
816	7275	1629
817	7280	1619
818	7285	1610
819	7290	1600
820	7294	1590
821	7298	1580
822	7302	1570
823	7307	1560
824	7313	1551
825	7317	1541
826	7321	1531
827	7326	1521
828	7330	1512
829	7334	1502
830	7339	1492
831	7344	1482
832	7348	1473
833	7353	1463
834	7358	1454
835	7366	1445
836	7373	1435
837	7381	1426
838	7387	1417
839	7392	1408
840	7432	1405
841	7440	1396
842	7445	1386
843	7450	1377
844	7455	1367
845	7462	1358
846	7466	1348
847	7471	1339
848	7475	1329
849	7480	1320
850	7484	1310
851	7488	1300
852	7494	1291
853	7500	1282
854	7505	1272
855	7510	1263
856	7515	1253
857	7519	1244
858	7523	1235
859	7528	1225
860	7532	1215
861	7536	1206
862	7542	1197
863	7546	1187
864	7552	1178
865	7557	1169
866	7565	1160
867	7569	1151
868	7577	1142
869	7582	1133
870	7587	1123
871	7592	1114
872	7599	1105
873	7604	1096
874	7610	1087
875	7617	1078
876	7627	1069
877	7634	1060
878	7641	1051
879	7649	1043
880	7655	1034
881	7662	1025
882	7669	1016
883	7674	1007
884	7680	998
885	7689	989
886	7693	980
887	7698	971
888	7703	961
889	7709	952
890	7712	943
891	7717	934
892	7722	925
893	7729	916
894	7733	907
895	7738	898
896	7743	889
897	7747	880
898	7753	871
899	7758	862
900	7764	853
901	7772	844
902	7778	835
903	7783	826
904	7786	817
905	7790	808
906	7795	799
907	7799	790
908	7804	781
909	7810	772
910	7816	763
911	7821	754
912	7826	745
913	7830	736
914	7835	727
915	7839	718
916	7845	710
917	7851	701
918	7856	692
919	7863	683
920	7869	674
921	7873	666
922	7880	657
923	7885	648
924	7892	639
925	7897	631
926	7902	622
927	7908	613
928	7914	604
929	7919	596
930	7923	587
931	7929	578
932	7934	569
933	7938	560
934	7942	552
935	7950	543
936	7953	534
937	7957	525
938	7961	517
939	7964	508
940	7969	499
941	7977	491
942	7983	482
943	7987	473
944	7993	465
945	7999	456
946	8005	448
947	8009	439
948	8014	430
949	8018	422
950	8022	413
951	8027	404
952	8031	396
953	8037	387
954	8042	378
955	8050	370
956	8055	361
957	8060	353
958	8066	344
959	8070	336
960	8075	327
961	8081	319
962	8086	310
963	8092	302
964	8097	293
965	8104	285
966	8111	276
967	8123	268
968	8132	260
969	8137	251
970	8143	243
971	8150	234
972	8154	226
973	8158	217
974	8162	209
975	8166	200
976	8169	192
977	8174	183
978	8179	175
979	8186	167
980	8195	158
981	8200	150
982	8206	141
983	8211	133
984	8217	125
985	8223	116
986	8229	108
987	8235	100
988	8240	91
989	8245	83
990	8250	74
991	8256	66
992	8263	58
993	8268	49
994	8273	41
995	8279	33
996	8284	24
997	8289	16
998	8295	8
999	8300	0
7170	14
998	7174	7
999	7178	0
	10087	50
995	10091	40
996	10095	30
997	10100	20
998	10105	10
999	10108	0
