iter	Logloss
0	0.6710366486
1	0.6480326376
2	0.6278431823	3	0.6119579249
4	0.5880402141
5	0.5640629234
6	0.5471661518
7	0.5294910938
8	0.5150251444
9	0.4938079746
10	0.4831409372
11	0.4632747849
12	0.4500447532
13	0.4362516458
14	0.4233168674
15	0.4058029969
16	0.391282892
117	0.386041119118	0.3646983329
19	0.3528194317
20	0.3424521209
21	0.3334893684
222	0.3306863558223	0.321068724	024	0.311930725	025	0.303265626	26	0.2951831959
27	0.2831336325
28	0.2751990622
29	0.2669914719
30	0.2591622962
31	0.2512711366
32	0.2414732479
33	0.2359586222
34	0.2294310419
35	0.2229248598
36	0.2159628999
37	0.2075105802
38	0.2013434028
39	0.1957250649
40	0.1900625934
41	0.1839701815
42	0.17847602
43	0.1727925596
44	0.1686989554
45	0.163393697
46	0.1589769025
47	0.1537319218
48	0.1505862656
49	0.1471593556
50	0.1434287674
51	0.140274379
52	0.1359201817
53	0.1322780333
54	0.1291478452555	0.1265034845556	0.1237436206557	0.1206106628
58	0.1177710867
59	0.1133971036660	0.110761541
61	0.1084899253
62	0.104720134
663	0.100357959764	0.100048193
65	65	0.09474312226
66	0.09266680238
67	0.09053283206
68	0.08798872667
69	0.08604992332
70	0.0829980773
71	0.08080030452
72	0.0792028394
73	0.07787359932
74	0.07534718927
75	0.0735744355
76	0.07103456927
77	0.06859752346
78	0.06704091199
79	0.06543164997
80	0.06404914194
81	0.06254805857
82	0.06128189881
83	0.06018583485
84	0.05894100322
85	0.05785576594
86	0.05688758806
87	0.05524796282
88	0.05455496683
89	0.05320208335
90	0.05214459083
91	0.05116577369
92	0.05020449203
93	0.04937776114
94	0.04858301416
95	0.0477725674
96	0.04704291283
97	0.04644425894
98	0.0454468479
99	0.04470634185
100	0.04399319467
101	0.0433583673
102	0.04268403136
103	0.04176741253
104	0.04064989366
105	0.04003238678
106	0.03922225423
107	0.03871727541
108	0.03808485428
109	0.03744775298
110	0.03696810441
111	0.03585967301
112	0.03533129058
113	0.03475770785
114	0.03386237029
115	0.03336853512
116	0.03297365332
117	0.03257393148
118	0.03220907939
119	0.03172122812
120	0.03142181849
121	0.03099207244
122	0.03025640091
123	0.02986447108
124	0.02947133125
125	0.02903538632
126	0.02865883381
127	0.02810605
128	0.02763504238
129	0.02686278944
130	0.02655018272
131	0.02613428149
132	0.02581696979
133	0.02542165525
134	0.02502663011
135	0.02476750909
136	0.02441152396
137	0.02414956947
138	0.02349644589
139	0.02316760466
140	0.02285463824
141	0.02262998041
142	0.02220425854
143	0.02190196859
144	0.02169163516
145	0.02122748243
146	0.02095326385
147	0.02066798017
148	0.0202627623
149	0.02008697339
150	0.01977811383
151	0.01937633718
152	0.0191164127
153	0.01889312336
154	0.01870816843
155	0.01832488782
156	0.01813886345
157	0.01781297143
158	0.01759910308
159	0.01741455194
160	0.01720748196
161	0.01678419802
162	0.01657165957
163	0.01626260983
164	0.01603849775
165	0.01575839313
166	0.01560750862
167	0.01540682771
168	0.01529453256
169	0.01493076369
170	0.01475611725
171	0.01455999661
172	0.01438395274
173	0.01426057044
174	0.01412440449
175	0.01381665985
176	0.01368287809
177	0.01336871131
178	0.01324591885
179	0.01315436749
180	0.01299312211
181	0.01290630881
182	0.01267694876
183	0.01250612667
184	0.01237051335
185	0.01229213015
186	0.01210851063
187	0.01192360806
188	0.01182140229
189	0.01173359259
190	0.01161974703
191	0.01153969076
192	0.01147850263
193	0.0114121754
194	0.01132464409
195	0.01122935935
196	0.01114932719
197	0.01105001896
198	0.01095999872
199	0.01072560363
200	0.01062010823
201	0.01051395063
202	0.01039466486
203	0.01032896951
204	0.01024915097
205	0.01017577938
206	0.01006572853
207	0.009856465924
208	0.009779539411
209	0.009704715255
210	0.009505204383
211	0.009449630803
212	0.009359191608
213	0.009301632126
214	0.009234678539
215	0.00918032806
216	0.009113409616
217	0.009045442405
218	0.008932499527
219	0.008885486967
220	0.008708258585
221	0.008653290699
222	0.008482689113
223	0.00837418224	0224	0.00829246225	0225	0.0082449226	0.226	0.0081926227	0.008685948532
228	0.008649204508
229	0.008573926942
230	0.008522517419
231	0.008392582739
232	0.008342221293
233	0.008284040958
234	0.008229932344
235	0.008181669809
236	0.008122278776
237	0.008070223593
238	0.007970720357
239	0.007911007528
240	0.007861229726
241	0.00782470965
